customerID,tenure,MonthlyCharges,Contract,Churn
CUST_0000,70,20.44,Two year,No
CUST_0001,14,21.65,One year,No
CUST_0002,67,31.95,One year,No
CUST_0003,44,115.67,Two year,No
CUST_0004,30,24.83,Two year,No
CUST_0005,42,59.95,One year,Yes
CUST_0006,11,118.47,Two year,Yes
CUST_0007,57,32.08,Month-to-month,No
CUST_0008,43,71.12,One year,Yes
CUST_0009,64,97.82,One year,No
CUST_0010,4,22.85,One year,No
CUST_0011,60,34.16,One year,No
CUST_0012,59,116.19,Month-to-month,No
CUST_0013,19,34.28,One year,No
CUST_0014,1,36.15,Two year,No
CUST_0015,40,75.91,Two year,No
CUST_0016,67,99.15,One year,No
CUST_0017,64,98.98,Two year,Yes
CUST_0018,69,30.0,One year,No
CUST_0019,15,33.8,One year,No
CUST_0020,52,92.7,Two year,No
CUST_0021,33,68.82,Two year,No
CUST_0022,52,22.09,One year,No
CUST_0023,27,73.97,Two year,No
CUST_0024,66,23.77,Month-to-month,Yes
CUST_0025,14,98.14,One year,Yes
CUST_0026,38,53.37,Two year,No
CUST_0027,12,97.4,One year,No
CUST_0028,16,94.47,Two year,Yes
CUST_0029,57,34.78,Two year,Yes
CUST_0030,53,117.14,One year,No
CUST_0031,6,106.14,Month-to-month,Yes
CUST_0032,11,109.91,Two year,No
CUST_0033,72,89.17,Month-to-month,No
CUST_0034,63,84.99,Month-to-month,Yes
CUST_0035,19,82.41,Two year,No
CUST_0036,37,93.83,One year,No
CUST_0037,25,84.78,Month-to-month,Yes
CUST_0038,54,45.56,One year,Yes
CUST_0039,49,44.41,Two year,No
CUST_0040,29,34.37,One year,No
CUST_0041,11,75.94,Two year,Yes
CUST_0042,28,35.8,Month-to-month,No
CUST_0043,7,65.64,Two year,No
CUST_0044,31,54.72,One year,No
CUST_0045,13,74.46,Month-to-month,Yes
CUST_0046,16,45.44,One year,No
CUST_0047,40,35.77,Two year,No
CUST_0048,41,31.73,Month-to-month,No
CUST_0049,22,58.55,Two year,No
CUST_0050,48,50.82,Month-to-month,Yes
CUST_0051,24,39.68,One year,No
CUST_0052,55,71.67,Month-to-month,Yes
CUST_0053,55,33.94,Two year,No
CUST_0054,21,57.05,One year,No
CUST_0055,64,72.71,One year,No
CUST_0056,39,90.17,Month-to-month,No
CUST_0057,21,21.35,Month-to-month,No
CUST_0058,11,62.23,Month-to-month,No
CUST_0059,64,110.41,One year,Yes
CUST_0060,57,37.4,One year,No
CUST_0061,19,117.32,One year,No
CUST_0062,60,96.89,Two year,Yes
CUST_0063,36,65.14,One year,No
CUST_0064,38,113.95,Two year,No
CUST_0065,35,94.86,One year,No
CUST_0066,18,70.21,Month-to-month,No
CUST_0067,5,30.04,One year,No
CUST_0068,32,91.99,One year,No
CUST_0069,31,50.72,Two year,No
CUST_0070,46,82.86,One year,No
CUST_0071,16,89.32,Month-to-month,Yes
CUST_0072,60,78.85,Month-to-month,No
CUST_0073,9,51.84,One year,Yes
CUST_0074,10,81.35,One year,No
CUST_0075,16,62.82,One year,No
CUST_0076,70,67.42,One year,No
CUST_0077,25,60.56,Two year,No
CUST_0078,58,37.49,One year,No
CUST_0079,31,92.4,One year,No
CUST_0080,42,86.42,Month-to-month,Yes
CUST_0081,13,59.69,One year,No
CUST_0082,17,61.85,Two year,No
CUST_0083,46,60.42,Two year,No
CUST_0084,66,24.52,Two year,No
CUST_0085,44,45.61,Month-to-month,No
CUST_0086,72,57.76,One year,No
CUST_0087,36,103.08,One year,No
CUST_0088,37,117.99,Month-to-month,No
CUST_0089,71,52.31,Month-to-month,No
CUST_0090,13,22.66,Month-to-month,Yes
CUST_0091,61,49.07,Two year,No
CUST_0092,67,104.0,Month-to-month,Yes
CUST_0093,35,39.73,One year,No
CUST_0094,44,107.02,Two year,No
CUST_0095,54,72.24,Month-to-month,No
CUST_0096,17,32.96,Month-to-month,No
CUST_0097,15,47.22,Month-to-month,Yes
CUST_0098,45,57.34,One year,No
CUST_0099,50,95.72,Month-to-month,Yes
CUST_0100,45,44.48,One year,No
CUST_0101,29,59.8,Month-to-month,Yes
CUST_0102,71,53.97,Two year,No
CUST_0103,35,44.93,Month-to-month,No
CUST_0104,14,25.73,One year,No
CUST_0105,71,99.49,Month-to-month,No
CUST_0106,68,115.17,One year,No
CUST_0107,23,91.65,Month-to-month,Yes
CUST_0108,40,73.14,Month-to-month,No
CUST_0109,12,96.49,One year,Yes
CUST_0110,26,58.47,Month-to-month,No
CUST_0111,67,68.78,Two year,No
CUST_0112,59,62.48,Two year,No
CUST_0113,70,99.51,One year,No
CUST_0114,22,93.63,Month-to-month,No
CUST_0115,12,64.95,Month-to-month,Yes
CUST_0116,10,91.29,One year,Yes
CUST_0117,59,30.46,One year,No
CUST_0118,66,71.92,One year,No
CUST_0119,1,117.5,Two year,Yes
CUST_0120,17,33.25,Month-to-month,Yes
CUST_0121,40,84.54,Month-to-month,Yes
CUST_0122,50,20.19,Month-to-month,No
CUST_0123,67,43.4,Month-to-month,No
CUST_0124,34,72.44,One year,No
CUST_0125,31,112.78,Two year,No
CUST_0126,32,88.97,Month-to-month,Yes
CUST_0127,22,48.83,One year,No
